time,cpu,net_in,net_out,batt,net_in_wx,net_out_wx,net_in_qq,net_out_qq,fps,mem_vss,mem_rss,mem_pss,mem_uss,mem_native,mem_dalvik,mem_pss_total,batt_voltage,temperature,timeindex
2016-11-13 12:37:29,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5126953125,74.974609375,0,0,0
2016-11-13 12:37:30,3,0,0,0,0,0,0,0,0,0,0,0,0,3.87890625,1.5126953125,74.962890625,0,0,0
2016-11-13 12:37:31,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5126953125,74.974609375,0,0,0
2016-11-13 12:37:33,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5126953125,74.97265625,0,0,0
2016-11-13 12:37:34,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5126953125,74.97265625,0,0,0
2016-11-13 12:37:35,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:37,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:38,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:40,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:41,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:42,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:44,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:45,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:46,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:48,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8955078125,1.5244140625,74.998046875,0,0,0
2016-11-13 12:37:49,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:50,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:52,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:53,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:55,4,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:56,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:57,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:59,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:00,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:01,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:03,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9033203125,1.5244140625,75.009765625,0,0,0
2016-11-13 12:38:04,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:05,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:07,4,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:08,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:09,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:11,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:12,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:13,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:15,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:16,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:17,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
